-- Total Memory Allocated --
Total: 19212
-- allocMBList (2397) --
address=0x237d6f8, size=6, name=Zolly
address=0x237d6f0, size=8, name=Zollie
address=0x237d6ea, size=6, name=Zerk
address=0x237d6e3, size=7, name=Zelig
address=0x237d6dd, size=6, name=Zeke
address=0x237d6d3, size=10, name=Zedekiah
address=0x237d6ce, size=5, name=Zed
address=0x237d6c3, size=11, name=Zechariah
address=0x237d6ba, size=9, name=Zebulon
address=0x237d6b1, size=9, name=Zebulen
address=0x237d6a8, size=9, name=Zebedee
address=0x237d69e, size=10, name=Zebadiah
address=0x237d699, size=5, name=Zeb
address=0x237d692, size=7, name=Zared
address=0x237d68c, size=6, name=Zane
address=0x237d687, size=5, name=Zak
address=0x237d67c, size=11, name=Zackariah
address=0x237d676, size=6, name=Zack
address=0x237d66d, size=9, name=Zachery
address=0x237d663, size=10, name=Zacherie
address=0x237d65a, size=9, name=Zachary
address=0x237d650, size=10, name=Zacharie
address=0x237d645, size=11, name=Zacharias
address=0x237d63a, size=11, name=Zachariah
address=0x237d630, size=10, name=Zacharia
address=0x237d62a, size=6, name=Zach
address=0x237d620, size=10, name=Zaccaria
address=0x237d61a, size=6, name=Yvor
address=0x237d614, size=6, name=Yvon
address=0x237d60e, size=6, name=Yves
address=0x237d607, size=7, name=Yurik
address=0x237d601, size=6, name=Yuri
address=0x237d5fb, size=6, name=Yuma
address=0x237d5f4, size=7, name=Yulma
address=0x237d5ee, size=6, name=Yule
address=0x237d5e9, size=5, name=Yul
address=0x237d5e1, size=8, name=Yorker
address=0x237d5da, size=7, name=Yorke
address=0x237d5d4, size=6, name=York
address=0x237d5cc, size=8, name=Yorgos
address=0x237d5c5, size=7, name=Yorgo
address=0x237d5bc, size=9, name=Yehudit
address=0x237d5b4, size=8, name=Yehudi
address=0x237d5ab, size=9, name=Yardley
address=0x237d5a5, size=6, name=Yard
address=0x237d59d, size=8, name=Yankee
address=0x237d597, size=6, name=Yank
address=0x237d590, size=7, name=Yancy
address=0x237d588, size=8, name=Yancey
address=0x237d581, size=7, name=Yance
address=0x237d578, size=9, name=Yanaton
address=0x237d572, size=6, name=Yale
address=0x237d569, size=9, name=Xymenes
address=0x237d560, size=9, name=Ximenez
address=0x237d557, size=9, name=Ximenes
address=0x237d550, size=7, name=Xever
address=0x237d548, size=8, name=Xerxes
address=0x237d541, size=7, name=Xenos
address=0x237d539, size=8, name=Xavier
address=0x237d533, size=6, name=Wynn
address=0x237d52a, size=9, name=Wyndham
address=0x237d525, size=5, name=Wyn
address=0x237d51e, size=7, name=Wylie
address=0x237d519, size=5, name=Wye
address=0x237d512, size=7, name=Wyatt
address=0x237d50a, size=8, name=Wyatan
address=0x237d502, size=8, name=Wright
address=0x237d4fa, size=8, name=Worthy
address=0x237d4ed, size=13, name=Worthington
address=0x237d4e6, size=7, name=Worth
address=0x237d4de, size=8, name=Worden
address=0x237d4d7, size=7, name=Woody
address=0x237d4ce, size=9, name=Woodrow
address=0x237d4c5, size=9, name=Woodman
address=0x237d4bd, size=8, name=Woodie
address=0x237d4b7, size=6, name=Wood
address=0x237d4b0, size=7, name=Wolfy
address=0x237d4a8, size=8, name=Wolfie
address=0x237d49e, size=10, name=Wolfgang
address=0x237d498, size=6, name=Wolf
address=0x237d491, size=7, name=Witty
address=0x237d489, size=8, name=Wittie
address=0x237d484, size=5, name=Wit
address=0x237d47a, size=10, name=Winthrop
address=0x237d471, size=9, name=Winston
address=0x237d468, size=9, name=Winslow
address=0x237d461, size=7, name=Winny
address=0x237d459, size=8, name=Winnie
address=0x237d453, size=6, name=Winn
address=0x237d448, size=11, name=Winifield
address=0x237d43f, size=9, name=Winfred
address=0x237d435, size=10, name=Winfield
address=0x237d42c, size=9, name=Windham
address=0x237d427, size=5, name=Win
address=0x237d41f, size=8, name=Wilton
address=0x237d419, size=6, name=Wilt
address=0x237d411, size=8, name=Wilmer
address=0x237d409, size=8, name=Wilmar
address=0x237d402, size=7, name=Willy
address=0x237d3fa, size=8, name=Willis
address=0x237d3f2, size=8, name=Willie
address=0x237d3e9, size=9, name=William
address=0x237d3e2, size=7, name=Willi
address=0x237d3da, size=8, name=Willey
address=0x237d3d2, size=8, name=Willem
address=0x237d3c9, size=9, name=Willdon
address=0x237d3c0, size=9, name=Willard
address=0x237d3ba, size=6, name=Will
address=0x237d3b1, size=9, name=Wilhelm
address=0x237d3a8, size=9, name=Wilfrid
address=0x237d39f, size=9, name=Wilfred
address=0x237d398, size=7, name=Wiley
address=0x237d391, size=7, name=Wilek
address=0x237d389, size=8, name=Wildon
address=0x237d381, size=8, name=Wilden
address=0x237d378, size=9, name=Wilburt
address=0x237d370, size=8, name=Wilbur
address=0x237d367, size=9, name=Wilbert
address=0x237d360, size=7, name=Wiatt
address=0x237d355, size=11, name=Whittaker
address=0x237d34c, size=9, name=Whitney
address=0x237d343, size=9, name=Whitman
address=0x237d33b, size=8, name=Whitby
address=0x237d331, size=10, name=Whitaker
address=0x237d32b, size=6, name=Whit
address=0x237d322, size=9, name=Wheeler
address=0x237d31a, size=8, name=Weylin
address=0x237d312, size=8, name=Weston
address=0x237d309, size=9, name=Westley
address=0x237d2fe, size=11, name=Westleigh
address=0x237d2f2, size=12, name=Westbrooke
address=0x237d2e7, size=11, name=Westbrook
address=0x237d2e1, size=6, name=West
address=0x237d2d9, size=8, name=Wesley
address=0x237d2d4, size=5, name=Wes
address=0x237d2cb, size=9, name=Wernher
address=0x237d2c3, size=8, name=Werner
address=0x237d2ba, size=9, name=Wendell
address=0x237d2b2, size=8, name=Wendel
address=0x237d2a9, size=9, name=Wendall
address=0x237d2a2, size=7, name=Welsh
address=0x237d29b, size=7, name=Wells
address=0x237d294, size=7, name=Welch
address=0x237d28d, size=7, name=Welby
address=0x237d285, size=8, name=Welbie
address=0x237d27d, size=8, name=Weider
