-- Total Memory Allocated --
Total: 24378
-- allocMBList (2945) --
address=0x1b48da2, size=7, name=Zuzana
address=0x1b48d9a, size=8, name=Zulema
address=0x1b48d92, size=8, name=Zsazsa
address=0x1b48d89, size=9, name=Zsa Zsa
address=0x1b48d81, size=8, name=Zorine
address=0x1b48d79, size=8, name=Zorina
address=0x1b48d71, size=8, name=Zorana
address=0x1b48d6a, size=7, name=Zorah
address=0x1b48d64, size=6, name=Zora
address=0x1b48d5c, size=8, name=Zonnya
address=0x1b48d54, size=8, name=Zondra
address=0x1b48d4d, size=7, name=Zonda
address=0x1b48d47, size=6, name=Zola
address=0x1b48d42, size=5, name=Zoe
address=0x1b48d39, size=9, name=Zitella
address=0x1b48d33, size=6, name=Zita
address=0x1b48d2b, size=8, name=Zilvia
address=0x1b48d26, size=5, name=Zia
address=0x1b48d1f, size=7, name=Zenia
address=0x1b48d19, size=6, name=Zena
address=0x1b48d12, size=7, name=Zelma
address=0x1b48d0b, size=7, name=Zelda
address=0x1b48d06, size=5, name=Zea
address=0x1b48cff, size=7, name=Zarla
address=0x1b48cf8, size=7, name=Zaria
address=0x1b48cf1, size=7, name=Zarah
address=0x1b48ceb, size=6, name=Zara
address=0x1b48ce3, size=8, name=Zaneta
address=0x1b48cdb, size=8, name=Zandra
address=0x1b48cd3, size=8, name=Zahara
address=0x1b48cca, size=9, name=Zabrina
address=0x1b48cc2, size=8, name=Yvonne
address=0x1b48cba, size=8, name=Yvette
address=0x1b48cb2, size=8, name=Ysabel
address=0x1b48ca8, size=10, name=Yovonnda
address=0x1b48c9f, size=9, name=Yoshiko
address=0x1b48c98, size=7, name=Yoshi
address=0x1b48c8e, size=10, name=Yolanthe
address=0x1b48c86, size=8, name=Yolane
address=0x1b48c7d, size=9, name=Yolande
address=0x1b48c74, size=9, name=Yolanda
address=0x1b48c6e, size=6, name=Yoko
address=0x1b48c68, size=6, name=Ynez
address=0x1b48c62, size=6, name=Ynes
address=0x1b48c59, size=9, name=Yevette
address=0x1b48c52, size=7, name=Yetty
address=0x1b48c4a, size=8, name=Yettie
address=0x1b48c43, size=7, name=Yetta
address=0x1b48c3b, size=8, name=Yelena
address=0x1b48c33, size=8, name=Yasmin
address=0x1b48c2a, size=9, name=Yasmeen
address=0x1b48c21, size=9, name=Yalonda
address=0x1b48c19, size=8, name=Xylina
address=0x1b48c12, size=7, name=Xylia
address=0x1b48c0b, size=7, name=Xenia
address=0x1b48c05, size=6, name=Xena
address=0x1b48bfc, size=9, name=Xaviera
address=0x1b48bf5, size=7, name=Wynny
address=0x1b48bed, size=8, name=Wynnie
address=0x1b48be6, size=7, name=Wynne
address=0x1b48be0, size=6, name=Wynn
address=0x1b48bd9, size=7, name=Wylma
address=0x1b48bd0, size=9, name=Wrennie
address=0x1b48bca, size=6, name=Wren
address=0x1b48bc1, size=9, name=Winonah
address=0x1b48bb9, size=8, name=Winona
address=0x1b48bb2, size=7, name=Winny
address=0x1b48ba7, size=11, name=Winnifred
address=0x1b48b9f, size=8, name=Winnie
address=0x1b48b98, size=7, name=Winni
address=0x1b48b91, size=7, name=Winne
address=0x1b48b89, size=8, name=Winnah
address=0x1b48b82, size=7, name=Winna
address=0x1b48b78, size=10, name=Winifred
address=0x1b48b72, size=6, name=Wini
address=0x1b48b6b, size=7, name=Windy
address=0x1b48b64, size=7, name=Wilow
address=0x1b48b5c, size=8, name=Wilone
address=0x1b48b54, size=8, name=Wilona
address=0x1b48b4a, size=10, name=Wilmette
address=0x1b48b43, size=7, name=Wilma
address=0x1b48b3b, size=8, name=Willyt
address=0x1b48b34, size=7, name=Willy
address=0x1b48b2c, size=8, name=Willow
address=0x1b48b24, size=8, name=Willie
address=0x1b48b1d, size=7, name=Willi
address=0x1b48b13, size=10, name=Willette
address=0x1b48b09, size=10, name=Willetta
address=0x1b48afe, size=11, name=Willamina
address=0x1b48af2, size=12, name=Willabella
address=0x1b48aeb, size=7, name=Willa
address=0x1b48ae4, size=7, name=Wilie
address=0x1b48ad8, size=12, name=Wilhelmine
address=0x1b48acc, size=12, name=Wilhelmina
address=0x1b48ac4, size=8, name=Wileen
address=0x1b48abb, size=9, name=Whitney
address=0x1b48ab2, size=9, name=Wenonah
address=0x1b48aaa, size=8, name=Wenona
address=0x1b48aa2, size=8, name=Wendye
address=0x1b48a9b, size=7, name=Wendy
address=0x1b48a93, size=8, name=Wendie
address=0x1b48a8c, size=7, name=Wendi
address=0x1b48a81, size=11, name=Wendeline
address=0x1b48a7a, size=7, name=Wenda
address=0x1b48a72, size=8, name=Wanids
address=0x1b48a6a, size=8, name=Waneta
address=0x1b48a62, size=8, name=Wandis
address=0x1b48a5a, size=8, name=Wandie
address=0x1b48a53, size=7, name=Wanda
address=0x1b48a4d, size=6, name=Waly
address=0x1b48a46, size=7, name=Wally
address=0x1b48a3e, size=8, name=Walliw
address=0x1b48a36, size=8, name=Wallis
address=0x1b48a2e, size=8, name=Wallie
address=0x1b48a28, size=6, name=Vyky
address=0x1b48a21, size=7, name=Vonny
address=0x1b48a19, size=8, name=Vonnie
address=0x1b48a12, size=7, name=Vonni
address=0x1b48a08, size=10, name=Vivyanne
address=0x1b48a00, size=8, name=Vivyan
address=0x1b489f7, size=9, name=Viviyan
address=0x1b489ed, size=10, name=Vivienne
address=0x1b489e4, size=9, name=Viviene
address=0x1b489dc, size=8, name=Vivien
address=0x1b489d5, size=7, name=Vivie
address=0x1b489cb, size=10, name=Vivianne
address=0x1b489c1, size=10, name=Vivianna
address=0x1b489b8, size=9, name=Viviana
address=0x1b489b0, size=8, name=Vivian
address=0x1b489a9, size=7, name=Vivia
address=0x1b489a3, size=6, name=Vivi
address=0x1b4899d, size=6, name=Viva
address=0x1b00e7c, size=5, name=Viv
address=0x1b48993, size=10, name=Vittoria
address=0x1b4898a, size=9, name=Vitoria
address=0x1b48983, size=7, name=Vitia
address=0x1b4897d, size=6, name=Vita
address=0x1b48973, size=10, name=Virginie
address=0x1b48969, size=10, name=Virginia
address=0x1b48960, size=9, name=Virgina
address=0x1b48958, size=8, name=Virgie
address=0x1b4894e, size=10, name=Violette
address=0x1b48944, size=10, name=Violetta
address=0x1b4893c, size=8, name=Violet
address=0x1b48935, size=7, name=Viole
address=0x1b4892b, size=10, name=Violante
address=0x1b48924, size=7, name=Viola
address=0x1b4891d, size=7, name=Vinny
address=0x1b48915, size=8, name=Vinnie
address=0x1b4890e, size=7, name=Vinni
address=0x1b48906, size=8, name=Vinita
address=0x1b48900, size=6, name=Vina
address=0x1b00ae8, size=5, name=Vin
address=0x1b488f9, size=7, name=Vilma
address=0x1b488ed, size=12, name=Vilhelmina
address=0x1b488e6, size=7, name=Vikky
address=0x1b488df, size=7, name=Vikki
address=0x1b488d9, size=6, name=Viki
address=0x1b488d3, size=6, name=Vida
address=0x1b488c9, size=10, name=Victoria
address=0x1b488c2, size=7, name=Vicky
address=0x1b488ba, size=8, name=Vickie
address=0x1b488b3, size=7, name=Vicki
address=0x1b24319, size=4, name=Vi
address=0x1b488ac, size=7, name=Vevay
address=0x1b488a1, size=11, name=Veronique
address=0x1b48897, size=10, name=Veronike
address=0x1b4888d, size=10, name=Veronika
address=0x1b48883, size=10, name=Veronica
address=0x1b4887a, size=9, name=Vernice
address=0x1b48873, size=7, name=Verna
address=0x1b4886c, size=7, name=Verla
address=0x1b48864, size=8, name=Verine
address=0x1b4885c, size=8, name=Verina
address=0x1b48854, size=8, name=Verile
