-- Total Memory Allocated --
Total: 19854
-- allocMBList (2397) --
address=0xa13d7f, size=6, name=Zolly
address=0xa13d77, size=8, name=Zollie
address=0xa13d71, size=6, name=Zerk
address=0xa13d6a, size=7, name=Zelig
address=0xa13d64, size=6, name=Zeke
address=0xa13d5a, size=10, name=Zedekiah
address=0x9cc464, size=5, name=Zed
address=0xa13d4f, size=11, name=Zechariah
address=0xa13d46, size=9, name=Zebulon
address=0xa13d3d, size=9, name=Zebulen
address=0xa13d34, size=9, name=Zebedee
address=0xa13d2a, size=10, name=Zebadiah
address=0x9f0776, size=5, name=Zeb
address=0xa13d23, size=7, name=Zared
address=0xa13d1d, size=6, name=Zane
address=0x9ce839, size=5, name=Zak
address=0xa13d12, size=11, name=Zackariah
address=0xa13d0c, size=6, name=Zack
address=0xa13d03, size=9, name=Zachery
address=0xa13cf9, size=10, name=Zacherie
address=0xa13cf0, size=9, name=Zachary
address=0xa13ce6, size=10, name=Zacharie
address=0xa13cdb, size=11, name=Zacharias
address=0xa13cd0, size=11, name=Zachariah
address=0xa13cc6, size=10, name=Zacharia
address=0xa13cc0, size=6, name=Zach
address=0xa13cb6, size=10, name=Zaccaria
address=0xa13cb0, size=6, name=Yvor
address=0xa13caa, size=6, name=Yvon
address=0xa13ca4, size=6, name=Yves
address=0xa13c9d, size=7, name=Yurik
address=0xa13c97, size=6, name=Yuri
address=0xa13c91, size=6, name=Yuma
address=0xa13c8a, size=7, name=Yulma
address=0xa13c84, size=6, name=Yule
address=0x9cd5c7, size=5, name=Yul
address=0xa13c7c, size=8, name=Yorker
address=0xa13c75, size=7, name=Yorke
address=0xa13c6f, size=6, name=York
address=0xa13c67, size=8, name=Yorgos
address=0xa13c60, size=7, name=Yorgo
address=0xa13c57, size=9, name=Yehudit
address=0xa13c4f, size=8, name=Yehudi
address=0xa13c46, size=9, name=Yardley
address=0xa13c40, size=6, name=Yard
address=0xa13c38, size=8, name=Yankee
address=0xa13c32, size=6, name=Yank
address=0xa13c2b, size=7, name=Yancy
address=0xa13c23, size=8, name=Yancey
address=0xa13c1c, size=7, name=Yance
address=0xa13c13, size=9, name=Yanaton
address=0xa13c0d, size=6, name=Yale
address=0xa13c04, size=9, name=Xymenes
address=0xa13bfb, size=9, name=Ximenez
address=0xa13bf2, size=9, name=Ximenes
address=0xa13beb, size=7, name=Xever
address=0xa13be3, size=8, name=Xerxes
address=0xa13bdc, size=7, name=Xenos
address=0xa13bd4, size=8, name=Xavier
address=0xa13bce, size=6, name=Wynn
address=0xa13bc5, size=9, name=Wyndham
address=0x9ccd59, size=5, name=Wyn
address=0xa13bbe, size=7, name=Wylie
address=0x9cc2dc, size=5, name=Wye
address=0xa13bb7, size=7, name=Wyatt
address=0xa13baf, size=8, name=Wyatan
address=0xa13ba7, size=8, name=Wright
address=0xa13b9f, size=8, name=Worthy
address=0xa13b92, size=13, name=Worthington
address=0xa13b8b, size=7, name=Worth
address=0xa13b83, size=8, name=Worden
address=0xa13b7c, size=7, name=Woody
address=0xa13b73, size=9, name=Woodrow
address=0xa13b6a, size=9, name=Woodman
address=0xa13b62, size=8, name=Woodie
address=0x9cc21e, size=6, name=Wood
address=0xa13b5b, size=7, name=Wolfy
address=0xa13b53, size=8, name=Wolfie
address=0xa13b49, size=10, name=Wolfgang
address=0x9ce04a, size=6, name=Wolf
address=0xa13b42, size=7, name=Witty
address=0xa13b3a, size=8, name=Wittie
address=0x9cd64a, size=5, name=Wit
address=0xa13b30, size=10, name=Winthrop
address=0xa13b27, size=9, name=Winston
address=0xa13b1e, size=9, name=Winslow
address=0xa13b17, size=7, name=Winny
address=0xa13b0f, size=8, name=Winnie
address=0x9cdd85, size=6, name=Winn
address=0xa13b04, size=11, name=Winifield
address=0xa13afb, size=9, name=Winfred
address=0xa13af1, size=10, name=Winfield
address=0xa13ae8, size=9, name=Windham
address=0x9f13e6, size=5, name=Win
address=0xa13ae0, size=8, name=Wilton
address=0x9cd2d1, size=6, name=Wilt
address=0xa13ad8, size=8, name=Wilmer
address=0xa13ad0, size=8, name=Wilmar
address=0xa13ac9, size=7, name=Willy
address=0xa13ac1, size=8, name=Willis
address=0xa13ab9, size=8, name=Willie
address=0xa13ab0, size=9, name=William
address=0xa13aa9, size=7, name=Willi
address=0xa13aa1, size=8, name=Willey
address=0xa13a99, size=8, name=Willem
address=0xa13a90, size=9, name=Willdon
address=0xa13a87, size=9, name=Willard
address=0x9f0419, size=6, name=Will
address=0xa13a7e, size=9, name=Wilhelm
address=0xa13a75, size=9, name=Wilfrid
address=0xa13a6c, size=9, name=Wilfred
address=0xa13a65, size=7, name=Wiley
address=0xa13a5e, size=7, name=Wilek
address=0xa13a56, size=8, name=Wildon
address=0xa13a4e, size=8, name=Wilden
address=0xa13a45, size=9, name=Wilburt
address=0xa13a3d, size=8, name=Wilbur
address=0xa13a34, size=9, name=Wilbert
address=0xa13a2d, size=7, name=Wiatt
address=0xa13a22, size=11, name=Whittaker
address=0xa13a19, size=9, name=Whitney
address=0xa13a10, size=9, name=Whitman
address=0xa13a08, size=8, name=Whitby
address=0xa139fe, size=10, name=Whitaker
address=0x9cd1e7, size=6, name=Whit
address=0xa139f5, size=9, name=Wheeler
address=0xa139ed, size=8, name=Weylin
address=0xa139e5, size=8, name=Weston
address=0xa139dc, size=9, name=Westley
address=0xa139d1, size=11, name=Westleigh
address=0xa139c5, size=12, name=Westbrooke
address=0xa139ba, size=11, name=Westbrook
address=0x9f12fe, size=6, name=West
address=0xa139b2, size=8, name=Wesley
address=0x9cd831, size=5, name=Wes
address=0xa139a9, size=9, name=Wernher
address=0xa139a1, size=8, name=Werner
address=0xa13998, size=9, name=Wendell
address=0xa13990, size=8, name=Wendel
address=0xa13987, size=9, name=Wendall
address=0xa13980, size=7, name=Welsh
address=0xa13979, size=7, name=Wells
address=0xa13972, size=7, name=Welch
address=0xa1396b, size=7, name=Welby
address=0xa13963, size=8, name=Welbie
address=0xa1395b, size=8, name=Weider
address=0xa13953, size=8, name=Weidar
address=0xa1394a, size=9, name=Webster
address=0xa13943, size=7, name=Weber
address=0x9f12aa, size=6, name=Webb
address=0x9ccfb2, size=5, name=Web
address=0xa1393c, size=7, name=Wayne
address=0xa13934, size=8, name=Waylon
address=0xa1392c, size=8, name=Waylin
address=0xa13924, size=8, name=Waylen
address=0xa1391b, size=9, name=Wayland
address=0xa13913, size=8, name=Waylan
address=0x9cd624, size=5, name=Way
address=0xa1390a, size=9, name=Waverly
address=0xa13900, size=10, name=Waverley
address=0x9ccff6, size=5, name=Wat
address=0xa138f4, size=12, name=Washington
address=0x9cdaba, size=6, name=Wash
address=0xa138ec, size=8, name=Warren
address=0xa138e4, size=8, name=Warner
address=0xa138dc, size=8, name=Waring
address=0x9f0fdd, size=6, name=Ware
address=0xa138d4, size=8, name=Warden
address=0xa138cd, size=7, name=Warde
address=0x9f04f2, size=6, name=Ward
address=0x9ce219, size=6, name=Wang
address=0xa138c5, size=8, name=Walton
address=0xa138bc, size=9, name=Walther
address=0x9cd2f0, size=6, name=Walt
address=0xa138b5, size=7, name=Walsh
address=0xa138ae, size=7, name=Wally
address=0xa138a6, size=8, name=Wallis
address=0xa1389e, size=8, name=Wallie
address=0xa13896, size=8, name=Wallas
address=0xa1388c, size=10, name=Wallache
address=0xa13883, size=9, name=Wallace
address=0xa1387b, size=8, name=Walker
address=0xa13873, size=8, name=Waldon
address=0xa1386c, size=7, name=Waldo
address=0xa13864, size=8, name=Walden
address=0xa1385a, size=10, name=Waldemar
address=0x9f0e9f, size=6, name=Wald
address=0xa1384f, size=11, name=Wakefield
address=0x9cc699, size=6, name=Wake
address=0xa13847, size=8, name=Waiter
address=0xa13840, size=7, name=Waite
address=0x9cdddb, size=6, name=Wait
address=0xa13834, size=12, name=Wainwright
address=0x9f1072, size=6, name=Wain
address=0xa13829, size=11, name=Wadsworth
address=0x9f0ffe, size=6, name=Wade
address=0x9ccdab, size=5, name=Von
address=0xa1381f, size=10, name=Vladimir
address=0xa13815, size=10, name=Vladamir
address=0x9f0ff2, size=6, name=Vlad
address=0xa1380b, size=10, name=Vittorio
address=0x9f0f2b, size=6, name=Vito
address=0x9cc37b, size=6, name=Vite
address=0xa13801, size=10, name=Virgilio
address=0xa137f9, size=8, name=Virgil
address=0xa137f1, size=8, name=Virgie
address=0xa137ea, size=7, name=Virge
address=0xa137e2, size=8, name=Vinson
address=0xa137db, size=7, name=Vinny
address=0xa137d3, size=8, name=Vinnie
address=0xa137ca, size=9, name=Vincenz
address=0xa137c0, size=10, name=Vincenty
address=0xa137b6, size=10, name=Vincents
address=0xa137ad, size=9, name=Vincent
address=0xa137a6, size=7, name=Vince
address=0x9f0159, size=5, name=Vin
address=0xa1379d, size=9, name=Vidovik
address=0xa13794, size=9, name=Vidovic
address=0xa1378c, size=8, name=Victor
address=0xa13783, size=9, name=Victoir
address=0x9cc7ee, size=6, name=Vick
address=0x9cc392, size=5, name=Vic
address=0xa1377b, size=8, name=Vernor
address=0xa13773, size=8, name=Vernon
address=0xa1376b, size=8, name=Verney
address=0xa13763, size=8, name=Vernen
address=0xa1375c, size=7, name=Verne
address=0x9cd19a, size=6, name=Vern
address=0xa13754, size=8, name=Vergil
address=0xa1374d, size=7, name=Verge
address=0xa13745, size=8, name=Vaughn
address=0xa1373c, size=9, name=Vaughan
address=0xa13733, size=9, name=Vassily
address=0xa1372a, size=9, name=Vassili
address=0xa13722, size=8, name=Vasily
address=0xa13719, size=9, name=Vasilis
address=0xa13711, size=8, name=Vasili
address=0xa1370a, size=7, name=Vanya
address=0xa13703, size=7, name=Vance
address=0x9cd5ea, size=5, name=Van
address=0xa136fc, size=7, name=Valle
address=0xa136f1, size=11, name=Valentino
address=0xa136e6, size=11, name=Valentine
address=0xa136dc, size=10, name=Valentin
address=0xa136d1, size=11, name=Valentijn
address=0x9cd16c, size=6, name=Vale
address=0xa136c7, size=10, name=Valdemar
address=0x9cd3d8, size=5, name=Val
address=0x9cd8df, size=6, name=Vail
address=0xa136bf, size=8, name=Vaclav
address=0xa136b7, size=8, name=Vachel
address=0xa136b0, size=7, name=Urson
address=0xa136a9, size=7, name=Uriel
address=0xa136a2, size=7, name=Uriah
address=0x9cc9c7, size=5, name=Uri
address=0xa13699, size=9, name=Urbanus
address=0xa13691, size=8, name=Urbano
address=0xa1368a, size=7, name=Urban
address=0xa13682, size=8, name=Urbain
address=0xa1367b, size=7, name=Upton
address=0xa13672, size=9, name=Umberto
address=0xa13669, size=9, name=Ulysses
address=0xa13661, size=8, name=Ulrick
address=0xa13659, size=8, name=Ulrich
address=0xa13652, size=7, name=Ulric
address=0xa1364a, size=8, name=Ulises
address=0xa13643, size=7, name=Ulick
address=0xa1363a, size=9, name=Ulberto
address=0x9cc29d, size=5, name=Ugo
address=0xa13633, size=7, name=Udell
address=0xa1362c, size=7, name=Udall
address=0x9cd463, size=7, name=Udale
address=0x9cd85e, size=7, name=Tyson
address=0x9ccbe3, size=7, name=Tyrus
address=0xa13624, size=8, name=Tyrone
address=0x9cd7c3, size=7, name=Tynan
address=0xa1361b, size=9, name=Tymothy
address=0x9f0677, size=7, name=Tymon
address=0x9cd1af, size=7, name=Tyler
address=0x9cdb59, size=5, name=Tye
address=0xa13613, size=8, name=Tybalt
address=0x9f004d, size=4, name=Ty
address=0xa1360b, size=8, name=Turner
address=0x9cd54a, size=7, name=Tully
address=0xa13603, size=8, name=Tulley
address=0x9ccde7, size=6, name=Tull
address=0x9f008a, size=7, name=Tudor
address=0x9cc776, size=7, name=Tucky
address=0xa135fb, size=8, name=Tuckie
address=0xa135f3, size=8, name=Tucker
address=0x9cca0a, size=6, name=Tuck
address=0xa135ea, size=9, name=Trumann
address=0xa135e2, size=8, name=Truman
address=0xa135d8, size=10, name=Trumaine
address=0xa135cf, size=9, name=Trueman
address=0xa135c6, size=9, name=Trstram
address=0x9f1356, size=6, name=Troy
address=0xa135bd, size=9, name=Tristan
address=0xa135b4, size=9, name=Tristam
address=0x9f00ec, size=6, name=Tris
address=0x9cd320, size=7, name=Tripp
address=0x9ccd4c, size=6, name=Trip
address=0x9cddff, size=6, name=Trey
address=0xa135ac, size=8, name=Trevor
address=0xa135a4, size=8, name=Trever
address=0xa1359c, size=8, name=Trevar
address=0x9cd75f, size=6, name=Trev
address=0xa13593, size=9, name=Trenton
address=0x9f0454, size=7, name=Trent
address=0xa13589, size=10, name=Tremayne
address=0xa1357f, size=10, name=Tremaine
address=0xa13576, size=9, name=Tremain
address=0xa1356e, size=8, name=Trefor
address=0xa13566, size=8, name=Travus
address=0xa1355e, size=8, name=Travis
address=0xa13555, size=9, name=Travers
address=0xa1354d, size=8, name=Traver
address=0x9cd410, size=7, name=Tracy
address=0xa13545, size=8, name=Tracie
address=0xa1353d, size=8, name=Tracey
address=0x9ccaf5, size=7, name=Trace
address=0x9cc280, size=7, name=Towny
address=0xa13533, size=10, name=Townsend
address=0xa1352b, size=8, name=Townie
address=0xa13523, size=8, name=Towney
address=0x9cc9d5, size=6, name=Town
address=0x9cd1d3, size=7, name=Torry
address=0xa1351b, size=8, name=Torrin
address=0xa13513, size=8, name=Torrey
address=0xa13509, size=10, name=Torrence
address=0x9f0119, size=7, name=Torre
address=0xa134ff, size=10, name=Torrance
address=0x9cca20, size=6, name=Torr
address=0x9cca55, size=7, name=Torin
address=0x9f0be0, size=7, name=Torey
address=0x9f0e1b, size=6, name=Tore
address=0x9f02b8, size=6, name=Tony
address=0xa134f7, size=8, name=Tonnie
address=0x9cd37e, size=7, name=Tommy
address=0xa134ef, size=8, name=Tommie
address=0xa134e7, size=8, name=Tomlin
address=0xa134df, size=8, name=Tomkin
address=0x9cd8ac, size=6, name=Tome
address=0xa134d7, size=8, name=Tomaso
address=0x9ccd39, size=7, name=Tomas
address=0x9f11b0, size=5, name=Tom
address=0xa134ce, size=9, name=Toiboid
address=0x9f05a4, size=7, name=Toddy
address=0xa134c6, size=8, name=Toddie
address=0x9f164d, size=6, name=Todd
address=0x9ccf05, size=5, name=Tod
address=0x9cdac8, size=6, name=Toby
address=0x9cc1ca, size=7, name=Tobit
address=0x9ccc28, size=7, name=Tobin
address=0x9f103f, size=7, name=Tobie
address=0xa134be, size=8, name=Tobias
address=0xa134b6, size=8, name=Tobiah
address=0x9ce823, size=6, name=Tobe
address=0x9f10ab, size=7, name=Titus
address=0x9f0426, size=7, name=Titos
address=0x9f156e, size=6, name=Tito
