-- Total Memory Allocated --
Total: 19216
-- allocMBList (2397) --
address=0x19ffb7d, size=6, name=Zolly
address=0x19ffb75, size=8, name=Zollie
address=0x19ffb6f, size=6, name=Zerk
address=0x19ffb68, size=7, name=Zelig
address=0x19ffb62, size=6, name=Zeke
address=0x19ffb58, size=10, name=Zedekiah
address=0x19ffb53, size=5, name=Zed
address=0x19ffb48, size=11, name=Zechariah
address=0x19ffb3f, size=9, name=Zebulon
address=0x19ffb36, size=9, name=Zebulen
address=0x19ffb2d, size=9, name=Zebedee
address=0x19ffb23, size=10, name=Zebadiah
address=0x19ffb1e, size=5, name=Zeb
address=0x19ffb17, size=7, name=Zared
address=0x19ffb11, size=6, name=Zane
address=0x19ffb0c, size=5, name=Zak
address=0x19ffb01, size=11, name=Zackariah
address=0x19ffafb, size=6, name=Zack
address=0x19ffaf2, size=9, name=Zachery
address=0x19ffae8, size=10, name=Zacherie
address=0x19ffadf, size=9, name=Zachary
address=0x19ffad5, size=10, name=Zacharie
address=0x19ffaca, size=11, name=Zacharias
address=0x19ffabf, size=11, name=Zachariah
address=0x19ffab5, size=10, name=Zacharia
address=0x19ffaaf, size=6, name=Zach
address=0x19ffaa5, size=10, name=Zaccaria
address=0x19ffa9f, size=6, name=Yvor
address=0x19ffa99, size=6, name=Yvon
address=0x19ffa93, size=6, name=Yves
address=0x19ffa8c, size=7, name=Yurik
address=0x19ffa86, size=6, name=Yuri
address=0x19ffa80, size=6, name=Yuma
address=0x19ffa79, size=7, name=Yulma
address=0x19ffa73, size=6, name=Yule
address=0x19ffa6e, size=5, name=Yul
address=0x19ffa66, size=8, name=Yorker
address=0x19ffa5f, size=7, name=Yorke
address=0x19ffa59, size=6, name=York
address=0x19ffa51, size=8, name=Yorgos
address=0x19ffa4a, size=7, name=Yorgo
address=0x19ffa41, size=9, name=Yehudit
address=0x19ffa39, size=8, name=Yehudi
address=0x19ffa30, size=9, name=Yardley
address=0x19ffa2a, size=6, name=Yard
address=0x19ffa22, size=8, name=Yankee
address=0x19ffa1c, size=6, name=Yank
address=0x19ffa15, size=7, name=Yancy
address=0x19ffa0d, size=8, name=Yancey
address=0x19ffa06, size=7, name=Yance
address=0x19ff9fd, size=9, name=Yanaton
address=0x19ff9f7, size=6, name=Yale
address=0x19ff9ee, size=9, name=Xymenes
address=0x19ff9e5, size=9, name=Ximenez
address=0x19ff9dc, size=9, name=Ximenes
address=0x19ff9d5, size=7, name=Xever
address=0x19ff9cd, size=8, name=Xerxes
address=0x19ff9c6, size=7, name=Xenos
address=0x19ff9be, size=8, name=Xavier
address=0x19ff9b8, size=6, name=Wynn
address=0x19ff9af, size=9, name=Wyndham
address=0x19ff9aa, size=5, name=Wyn
address=0x19ff9a3, size=7, name=Wylie
address=0x19ff99e, size=5, name=Wye
address=0x19ff997, size=7, name=Wyatt
address=0x19ff98f, size=8, name=Wyatan
address=0x19ff987, size=8, name=Wright
address=0x19ff97f, size=8, name=Worthy
address=0x19ff972, size=13, name=Worthington
address=0x19ff96b, size=7, name=Worth
address=0x19ff963, size=8, name=Worden
address=0x19ff95c, size=7, name=Woody
address=0x19ff953, size=9, name=Woodrow
address=0x19ff94a, size=9, name=Woodman
address=0x19ff942, size=8, name=Woodie
address=0x19ff93c, size=6, name=Wood
address=0x19ff935, size=7, name=Wolfy
address=0x19ff92d, size=8, name=Wolfie
address=0x19ff923, size=10, name=Wolfgang
address=0x19ff91d, size=6, name=Wolf
address=0x19ff916, size=7, name=Witty
address=0x19ff90e, size=8, name=Wittie
address=0x19ff909, size=5, name=Wit
address=0x19ff8ff, size=10, name=Winthrop
address=0x19ff8f6, size=9, name=Winston
address=0x19ff8ed, size=9, name=Winslow
address=0x19ff8e6, size=7, name=Winny
address=0x19ff8de, size=8, name=Winnie
address=0x19ff8d8, size=6, name=Winn
address=0x19ff8cd, size=11, name=Winifield
address=0x19ff8c4, size=9, name=Winfred
address=0x19ff8ba, size=10, name=Winfield
address=0x19ff8b1, size=9, name=Windham
address=0x19ff8ac, size=5, name=Win
address=0x19ff8a4, size=8, name=Wilton
address=0x19ff89e, size=6, name=Wilt
address=0x19ff896, size=8, name=Wilmer
address=0x19ff88e, size=8, name=Wilmar
address=0x19ff887, size=7, name=Willy
address=0x19ff87f, size=8, name=Willis
address=0x19ff877, size=8, name=Willie
address=0x19ff86e, size=9, name=William
address=0x19ff867, size=7, name=Willi
address=0x19ff85f, size=8, name=Willey
address=0x19ff857, size=8, name=Willem
address=0x19ff84e, size=9, name=Willdon
address=0x19ff845, size=9, name=Willard
address=0x19ff83f, size=6, name=Will
address=0x19ff836, size=9, name=Wilhelm
address=0x19ff82d, size=9, name=Wilfrid
address=0x19ff824, size=9, name=Wilfred
address=0x19ff81d, size=7, name=Wiley
address=0x19ff816, size=7, name=Wilek
address=0x19ff80e, size=8, name=Wildon
address=0x19ff806, size=8, name=Wilden
address=0x19ff7fd, size=9, name=Wilburt
address=0x19ff7f5, size=8, name=Wilbur
address=0x19ff7ec, size=9, name=Wilbert
address=0x19ff7e5, size=7, name=Wiatt
address=0x19ff7da, size=11, name=Whittaker
address=0x19ff7d1, size=9, name=Whitney
address=0x19ff7c8, size=9, name=Whitman
address=0x19ff7c0, size=8, name=Whitby
address=0x19ff7b6, size=10, name=Whitaker
address=0x19ff7b0, size=6, name=Whit
address=0x19ff7a7, size=9, name=Wheeler
address=0x19ff79f, size=8, name=Weylin
address=0x19ff797, size=8, name=Weston
address=0x19ff78e, size=9, name=Westley
address=0x19ff783, size=11, name=Westleigh
address=0x19ff777, size=12, name=Westbrooke
address=0x19ff76c, size=11, name=Westbrook
address=0x19ff766, size=6, name=West
address=0x19ff75e, size=8, name=Wesley
address=0x19ff759, size=5, name=Wes
address=0x19ff750, size=9, name=Wernher
address=0x19ff748, size=8, name=Werner
address=0x19ff73f, size=9, name=Wendell
address=0x19ff737, size=8, name=Wendel
address=0x19ff72e, size=9, name=Wendall
address=0x19ff727, size=7, name=Welsh
address=0x19ff720, size=7, name=Wells
address=0x19ff719, size=7, name=Welch
address=0x19ff712, size=7, name=Welby
address=0x19ff70a, size=8, name=Welbie
address=0x19ff702, size=8, name=Weider
address=0x19ff6fa, size=8, name=Weidar
address=0x19ff6f1, size=9, name=Webster
address=0x19ff6ea, size=7, name=Weber
address=0x19ff6e4, size=6, name=Webb
address=0x19ff6df, size=5, name=Web
address=0x19ff6d8, size=7, name=Wayne
address=0x19ff6d0, size=8, name=Waylon
address=0x19ff6c8, size=8, name=Waylin
address=0x19ff6c0, size=8, name=Waylen
address=0x19ff6b7, size=9, name=Wayland
address=0x19ff6af, size=8, name=Waylan
address=0x19b974c, size=5, name=Way
address=0x19ff6a6, size=9, name=Waverly
address=0x19ff69c, size=10, name=Waverley
address=0x19b9d6c, size=5, name=Wat
address=0x19ff690, size=12, name=Washington
address=0x19ff68a, size=6, name=Wash
address=0x19ff682, size=8, name=Warren
address=0x19ff67a, size=8, name=Warner
address=0x19ff672, size=8, name=Waring
address=0x19ff66c, size=6, name=Ware
address=0x19ff664, size=8, name=Warden
address=0x19ff65d, size=7, name=Warde
address=0x19ff657, size=6, name=Ward
address=0x19ff651, size=6, name=Wang
address=0x19ff649, size=8, name=Walton
address=0x19ff640, size=9, name=Walther
address=0x19ff63a, size=6, name=Walt
address=0x19ff633, size=7, name=Walsh
address=0x19ff62c, size=7, name=Wally
address=0x19ff624, size=8, name=Wallis
address=0x19ff61c, size=8, name=Wallie
address=0x19ff614, size=8, name=Wallas
address=0x19ff60a, size=10, name=Wallache
address=0x19ff601, size=9, name=Wallace
address=0x19ff5f9, size=8, name=Walker
address=0x19ff5f1, size=8, name=Waldon
address=0x19ff5ea, size=7, name=Waldo
address=0x19ff5e2, size=8, name=Walden
address=0x19ff5d8, size=10, name=Waldemar
address=0x19ff5d2, size=6, name=Wald
address=0x19ff5c7, size=11, name=Wakefield
address=0x19ff5c1, size=6, name=Wake
address=0x19ff5b9, size=8, name=Waiter
address=0x19ff5b2, size=7, name=Waite
address=0x19ff5ac, size=6, name=Wait
address=0x19ff5a0, size=12, name=Wainwright
address=0x19ff59a, size=6, name=Wain
address=0x19ff58f, size=11, name=Wadsworth
address=0x19ff589, size=6, name=Wade
address=0x19b8d40, size=5, name=Von
address=0x19ff57f, size=10, name=Vladimir
address=0x19ff575, size=10, name=Vladamir
address=0x19ff56f, size=6, name=Vlad
address=0x19ff565, size=10, name=Vittorio
address=0x19ff55f, size=6, name=Vito
address=0x19ff559, size=6, name=Vite
address=0x19ff54f, size=10, name=Virgilio
address=0x19ff547, size=8, name=Virgil
address=0x19ff53f, size=8, name=Virgie
address=0x19ff538, size=7, name=Virge
address=0x19ff530, size=8, name=Vinson
address=0x19ff529, size=7, name=Vinny
address=0x19ff521, size=8, name=Vinnie
address=0x19ff518, size=9, name=Vincenz
address=0x19ff50e, size=10, name=Vincenty
address=0x19ff504, size=10, name=Vincents
address=0x19ff4fb, size=9, name=Vincent
address=0x19ff4f4, size=7, name=Vince
address=0x19dd01a, size=5, name=Vin
address=0x19ff4eb, size=9, name=Vidovik
address=0x19ff4e2, size=9, name=Vidovic
address=0x19ff4da, size=8, name=Victor
address=0x19ff4d1, size=9, name=Victoir
address=0x19ff4cb, size=6, name=Vick
address=0x19dc3b4, size=5, name=Vic
address=0x19ff4c3, size=8, name=Vernor
address=0x19ff4bb, size=8, name=Vernon
address=0x19ff4b3, size=8, name=Verney
address=0x19ff4ab, size=8, name=Vernen
address=0x19ff4a4, size=7, name=Verne
address=0x19ff49e, size=6, name=Vern
address=0x19ff496, size=8, name=Vergil
address=0x19ff48f, size=7, name=Verge
address=0x19ff487, size=8, name=Vaughn
address=0x19ff47e, size=9, name=Vaughan
address=0x19ff475, size=9, name=Vassily
address=0x19ff46c, size=9, name=Vassili
address=0x19ff464, size=8, name=Vasily
address=0x19ff45b, size=9, name=Vasilis
address=0x19ff453, size=8, name=Vasili
address=0x19ff44c, size=7, name=Vanya
address=0x19ff445, size=7, name=Vance
address=0x19dc29c, size=5, name=Van
address=0x19ff43e, size=7, name=Valle
address=0x19ff433, size=11, name=Valentino
address=0x19ff428, size=11, name=Valentine
address=0x19ff41e, size=10, name=Valentin
address=0x19ff413, size=11, name=Valentijn
address=0x19ff40d, size=6, name=Vale
address=0x19ff403, size=10, name=Valdemar
address=0x19b8e7a, size=5, name=Val
address=0x19ff3fd, size=6, name=Vail
address=0x19ff3f5, size=8, name=Vaclav
address=0x19ff3ed, size=8, name=Vachel
address=0x19ff3e6, size=7, name=Urson
address=0x19ff3df, size=7, name=Uriel
address=0x19ff3d8, size=7, name=Uriah
address=0x19b86be, size=5, name=Uri
address=0x19ff3cf, size=9, name=Urbanus
address=0x19ff3c7, size=8, name=Urbano
address=0x19ff3c0, size=7, name=Urban
address=0x19ff3b8, size=8, name=Urbain
address=0x19ff3b1, size=7, name=Upton
address=0x19ff3a8, size=9, name=Umberto
address=0x19ff39f, size=9, name=Ulysses
address=0x19ff397, size=8, name=Ulrick
address=0x19ff38f, size=8, name=Ulrich
address=0x19ff388, size=7, name=Ulric
address=0x19ff380, size=8, name=Ulises
address=0x19ff379, size=7, name=Ulick
address=0x19ff370, size=9, name=Ulberto
address=0x19b863b, size=5, name=Ugo
address=0x19ff369, size=7, name=Udell
address=0x19ff362, size=7, name=Udall
address=0x19ff35b, size=7, name=Udale
address=0x19ff354, size=7, name=Tyson
address=0x19ff34d, size=7, name=Tyrus
address=0x19ff345, size=8, name=Tyrone
address=0x19ff33e, size=7, name=Tynan
address=0x19ff335, size=9, name=Tymothy
address=0x19ff32e, size=7, name=Tymon
address=0x19ff327, size=7, name=Tyler
address=0x19b91e1, size=5, name=Tye
address=0x19ff31f, size=8, name=Tybalt
address=0x19b9dba, size=4, name=Ty
address=0x19ff317, size=8, name=Turner
address=0x19ff310, size=7, name=Tully
address=0x19ff308, size=8, name=Tulley
address=0x19ff302, size=6, name=Tull
address=0x19ff2fb, size=7, name=Tudor
address=0x19ff2f4, size=7, name=Tucky
address=0x19ff2ec, size=8, name=Tuckie
address=0x19ff2e4, size=8, name=Tucker
address=0x19ff2de, size=6, name=Tuck
address=0x19ff2d5, size=9, name=Trumann
address=0x19ff2cd, size=8, name=Truman
address=0x19ff2c3, size=10, name=Trumaine
address=0x19ff2ba, size=9, name=Trueman
address=0x19ff2b1, size=9, name=Trstram
address=0x19ff2ab, size=6, name=Troy
address=0x19ff2a2, size=9, name=Tristan
address=0x19ff299, size=9, name=Tristam
address=0x19ff293, size=6, name=Tris
address=0x19ff28c, size=7, name=Tripp
address=0x19ff286, size=6, name=Trip
address=0x19ff280, size=6, name=Trey
address=0x19ff278, size=8, name=Trevor
address=0x19ff270, size=8, name=Trever
address=0x19ff268, size=8, name=Trevar
address=0x19ff262, size=6, name=Trev
address=0x19ff259, size=9, name=Trenton
address=0x19ff252, size=7, name=Trent
address=0x19ff248, size=10, name=Tremayne
address=0x19ff23e, size=10, name=Tremaine
address=0x19ff235, size=9, name=Tremain
address=0x19ff22d, size=8, name=Trefor
address=0x19ff225, size=8, name=Travus
address=0x19ff21d, size=8, name=Travis
address=0x19ff214, size=9, name=Travers
address=0x19ff20c, size=8, name=Traver
address=0x19ff205, size=7, name=Tracy
address=0x19ff1fd, size=8, name=Tracie
address=0x19ff1f5, size=8, name=Tracey
address=0x19ff1ee, size=7, name=Trace
address=0x19ff1e7, size=7, name=Towny
address=0x19ff1dd, size=10, name=Townsend
address=0x19ff1d5, size=8, name=Townie
address=0x19ff1cd, size=8, name=Towney
address=0x19ff1c7, size=6, name=Town
address=0x19ff1c0, size=7, name=Torry
address=0x19ff1b8, size=8, name=Torrin
address=0x19ff1b0, size=8, name=Torrey
address=0x19ff1a6, size=10, name=Torrence
address=0x19ff19f, size=7, name=Torre
address=0x19ff195, size=10, name=Torrance
address=0x19ff18f, size=6, name=Torr
address=0x19ff188, size=7, name=Torin
address=0x19ff181, size=7, name=Torey
address=0x19ff17b, size=6, name=Tore
address=0x19b838a, size=6, name=Tony
address=0x19ff173, size=8, name=Tonnie
address=0x19ff16c, size=7, name=Tommy
address=0x19ff164, size=8, name=Tommie
address=0x19ff15c, size=8, name=Tomlin
address=0x19ff154, size=8, name=Tomkin
address=0x19b95d1, size=6, name=Tome
address=0x19ff14c, size=8, name=Tomaso
address=0x19ff145, size=7, name=Tomas
address=0x19b881b, size=5, name=Tom
address=0x19ff13c, size=9, name=Toiboid
address=0x19ff135, size=7, name=Toddy
address=0x19ff12d, size=8, name=Toddie
address=0x19ba062, size=6, name=Todd
address=0x19b8b90, size=5, name=Tod
address=0x19b8088, size=6, name=Toby
address=0x19ff126, size=7, name=Tobit
address=0x19ff11f, size=7, name=Tobin
address=0x19ff118, size=7, name=Tobie
address=0x19ff110, size=8, name=Tobias
address=0x19ff108, size=8, name=Tobiah
address=0x19b904a, size=6, name=Tobe
address=0x19ff101, size=7, name=Titus
address=0x19ff0fa, size=7, name=Titos
address=0x19dcadc, size=6, name=Tito
address=0x19ff0f1, size=9, name=Tirrell
address=0x19ff0e8, size=9, name=Timothy
address=0x19ff0dd, size=11, name=Timotheus
address=0x19ff0d3, size=10, name=Timothee
address=0x19ff0ca, size=9, name=Timoteo
address=0x19ff0c1, size=9, name=Timofei
