-- Total Memory Allocated --
Total: 24915
-- allocMBList (2945) --
address=0xe68e39, size=7, name=Zuzana
address=0xe68e31, size=8, name=Zulema
address=0xe68e29, size=8, name=Zsazsa
address=0xe68e20, size=9, name=Zsa Zsa
address=0xe68e18, size=8, name=Zorine
address=0xe68e10, size=8, name=Zorina
address=0xe68e08, size=8, name=Zorana
address=0xe68e01, size=7, name=Zorah
address=0xe68dfb, size=6, name=Zora
address=0xe68df3, size=8, name=Zonnya
address=0xe68deb, size=8, name=Zondra
address=0xe68de4, size=7, name=Zonda
address=0xe68dde, size=6, name=Zola
address=0xe672c5, size=5, name=Zoe
address=0xe68dd5, size=9, name=Zitella
address=0xe68dcf, size=6, name=Zita
address=0xe68dc7, size=8, name=Zilvia
address=0xe455ae, size=5, name=Zia
address=0xe68dc0, size=7, name=Zenia
address=0xe68dba, size=6, name=Zena
address=0xe68db3, size=7, name=Zelma
address=0xe68dac, size=7, name=Zelda
address=0xe20239, size=5, name=Zea
address=0xe68da5, size=7, name=Zarla
address=0xe68d9e, size=7, name=Zaria
address=0xe68d97, size=7, name=Zarah
address=0xe68d91, size=6, name=Zara
address=0xe68d89, size=8, name=Zaneta
address=0xe68d81, size=8, name=Zandra
address=0xe68d79, size=8, name=Zahara
address=0xe68d70, size=9, name=Zabrina
address=0xe68d68, size=8, name=Yvonne
address=0xe68d60, size=8, name=Yvette
address=0xe68d58, size=8, name=Ysabel
address=0xe68d4e, size=10, name=Yovonnda
address=0xe68d45, size=9, name=Yoshiko
address=0xe68d3e, size=7, name=Yoshi
address=0xe68d34, size=10, name=Yolanthe
address=0xe68d2c, size=8, name=Yolane
address=0xe68d23, size=9, name=Yolande
address=0xe68d1a, size=9, name=Yolanda
address=0xe68d14, size=6, name=Yoko
address=0xe68d0e, size=6, name=Ynez
address=0xe68d08, size=6, name=Ynes
address=0xe68cff, size=9, name=Yevette
address=0xe68cf8, size=7, name=Yetty
address=0xe68cf0, size=8, name=Yettie
address=0xe68ce9, size=7, name=Yetta
address=0xe68ce1, size=8, name=Yelena
address=0xe68cd9, size=8, name=Yasmin
address=0xe68cd0, size=9, name=Yasmeen
address=0xe68cc7, size=9, name=Yalonda
address=0xe68cbf, size=8, name=Xylina
address=0xe68cb8, size=7, name=Xylia
address=0xe68cb1, size=7, name=Xenia
address=0xe68cab, size=6, name=Xena
address=0xe68ca2, size=9, name=Xaviera
address=0xe68c9b, size=7, name=Wynny
address=0xe68c93, size=8, name=Wynnie
address=0xe68c8c, size=7, name=Wynne
address=0xe21442, size=6, name=Wynn
address=0xe68c85, size=7, name=Wylma
address=0xe68c7c, size=9, name=Wrennie
address=0xe67db1, size=6, name=Wren
address=0xe68c73, size=9, name=Winonah
address=0xe68c6b, size=8, name=Winona
address=0xe68c64, size=7, name=Winny
address=0xe68c59, size=11, name=Winnifred
address=0xe68c51, size=8, name=Winnie
address=0xe68c4a, size=7, name=Winni
address=0xe68c43, size=7, name=Winne
address=0xe68c3b, size=8, name=Winnah
address=0xe68c34, size=7, name=Winna
address=0xe68c2a, size=10, name=Winifred
address=0xe21139, size=6, name=Wini
address=0xe68c23, size=7, name=Windy
address=0xe68c1c, size=7, name=Wilow
address=0xe68c14, size=8, name=Wilone
address=0xe68c0c, size=8, name=Wilona
address=0xe68c02, size=10, name=Wilmette
address=0xe68bfb, size=7, name=Wilma
address=0xe68bf3, size=8, name=Willyt
address=0xe68bec, size=7, name=Willy
address=0xe68be4, size=8, name=Willow
address=0xe68bdc, size=8, name=Willie
address=0xe68bd5, size=7, name=Willi
address=0xe68bcb, size=10, name=Willette
address=0xe68bc1, size=10, name=Willetta
address=0xe68bb6, size=11, name=Willamina
address=0xe68baa, size=12, name=Willabella
address=0xe68ba3, size=7, name=Willa
address=0xe68b9c, size=7, name=Wilie
address=0xe68b90, size=12, name=Wilhelmine
address=0xe68b84, size=12, name=Wilhelmina
address=0xe68b7c, size=8, name=Wileen
address=0xe68b73, size=9, name=Whitney
address=0xe68b6a, size=9, name=Wenonah
address=0xe68b62, size=8, name=Wenona
address=0xe68b5a, size=8, name=Wendye
address=0xe68b53, size=7, name=Wendy
address=0xe68b4b, size=8, name=Wendie
address=0xe68b44, size=7, name=Wendi
address=0xe68b39, size=11, name=Wendeline
address=0xe68b32, size=7, name=Wenda
address=0xe68b2a, size=8, name=Wanids
address=0xe68b22, size=8, name=Waneta
address=0xe68b1a, size=8, name=Wandis
address=0xe68b12, size=8, name=Wandie
address=0xe68b0b, size=7, name=Wanda
address=0xe21f98, size=6, name=Waly
address=0xe68b04, size=7, name=Wally
address=0xe68afc, size=8, name=Walliw
address=0xe68af4, size=8, name=Wallis
address=0xe68aec, size=8, name=Wallie
address=0xe440ba, size=6, name=Vyky
address=0xe68ae5, size=7, name=Vonny
address=0xe68add, size=8, name=Vonnie
address=0xe68ad6, size=7, name=Vonni
address=0xe68acc, size=10, name=Vivyanne
address=0xe68ac4, size=8, name=Vivyan
address=0xe68abb, size=9, name=Viviyan
address=0xe68ab1, size=10, name=Vivienne
address=0xe68aa8, size=9, name=Viviene
address=0xe68aa0, size=8, name=Vivien
address=0xe68a99, size=7, name=Vivie
address=0xe68a8f, size=10, name=Vivianne
address=0xe68a85, size=10, name=Vivianna
address=0xe68a7c, size=9, name=Viviana
address=0xe68a74, size=8, name=Vivian
address=0xe68a6d, size=7, name=Vivia
address=0xe20ea9, size=6, name=Vivi
address=0xe20440, size=6, name=Viva
